SEMESTER,AINE_VK,AINE_INST,AINEKOOD,AINE,arvestatud,mittearvestatud,hinne_A,hinne_B,hinne_C,hinne_D,hinne_E,hinne_F,mitteilmunud
S,LT,LTOM,LOOM.00.031,Geoloogia ja keskkonnatehnoloogia rakendused,14,0,0,0,0,0,0,0,1
S,LT,LTOM,LOOM.01.073,Ökoloogia rakendusi,0,0,7,5,0,1,0,0,0
S,LT,LTOM,LOOM.01.121,Sissejuhatus eukarüootide mitmekesisusse - protistid ja seened,0,0,12,10,16,8,4,1,1
S,LT,LTOM,LOOM.01.123,Taimeanatoomia ja -morfoloogia,0,0,3,7,11,4,4,0,2
S,LT,LTOM,LOOM.01.127,Biosüstemaatika ja elurikkuse informaatika,0,0,4,9,6,0,0,0,0
S,LT,LTOM,LOOM.02.001,Globaalökoloogia,0,0,30,10,0,0,0,0,1
S,LT,LTOM,LOOM.02.009,Kartograafia,0,0,5,4,6,3,4,1,4
S,LT,LTOM,LOOM.02.011,MicroStation,13,1,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.02.013,Geograafiline andmetöötlus,0,0,0,2,1,0,2,1,0
S,LT,LTOM,LOOM.02.025,Kartograafiline joonestamine,7,1,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.02.035,Ruumiliste andmete statistiline analüüs,0,0,0,2,1,1,1,1,0
S,LT,LTOM,LOOM.02.036,MapInfo edasijõudnutele,13,0,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.02.044,Geoinformaatika,0,0,26,18,7,4,0,0,3
S,LT,LTOM,LOOM.02.049,Illustrator,20,0,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.02.073,Inimgeograafia uurimismeetodid,0,0,6,5,5,5,0,0,0
S,LT,LTOM,LOOM.02.094,Maailmamajanduse geograafia,0,0,5,4,8,4,2,2,1
S,LT,LTOM,LOOM.02.097,Planeerimise alused,0,0,4,9,12,0,0,0,0
S,LT,LTOM,LOOM.02.106,Turismigeograafia,0,0,6,8,3,0,0,0,0
S,LT,LTOM,LOOM.02.119,Informatsiooni ja kommunikatsioonitehnoloogia geograafia ja mobiilpositsioneerimine,0,0,4,10,3,1,0,0,0
S,LT,LTOM,LOOM.02.121,Ühiskonnageograafia teoreetilised lähtekohad,0,0,5,8,7,1,0,0,0
S,LT,LTOM,LOOM.02.130,Geomorfoloogia,0,0,6,2,6,7,3,1,3
S,LT,LTOM,LOOM.02.136,Geosüsteemide modelleerimine,0,0,7,8,1,0,0,0,1
S,LT,LTOM,LOOM.02.143,Hüdroloogia,0,0,9,6,10,11,2,0,3
S,LT,LTOM,LOOM.02.147,Eesti kliima,11,0,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.02.153,Statistiline andmetöötlus,0,0,8,5,0,1,0,0,0
S,LT,LTOM,LOOM.02.159,Maastikuökoloogia,0,0,5,3,5,7,0,0,1
S,LT,LTOM,LOOM.02.162,Keskkonnajuhtimine ja keskkonnaaudit,0,0,12,11,0,0,0,0,0
S,LT,LTOM,LOOM.02.173,Eesti loodusgeograafia,0,0,8,17,7,1,0,2,1
S,LT,LTOM,LOOM.02.193,Dendrokronoloogia,0,0,6,5,1,0,0,0,0
S,LT,LTOM,LOOM.02.194,Keskkonnatehnoloogiad,32,0,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.02.207,Geograafia uurimissuunad ja -meetodid,15,0,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.02.209,Magistriseminar,19,0,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.02.236,Inimgeograafia alused,0,0,3,7,8,2,0,0,0
S,LT,LTOM,LOOM.02.244,Geograafilise mõtte kujunemine ja geograafia ajalugu,0,0,5,3,7,2,2,0,1
S,LT,LTOM,LOOM.02.245,IDRISI algkursus,10,0,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.02.279,Keskkonna mikrobioloogia,0,0,6,2,0,1,0,0,0
S,LT,LTOM,LOOM.02.341,Demograafia ja sotsiaalne linnageograafia,0,0,19,9,0,0,0,0,0
S,LT,LTOM,LOOM.02.342,Erialane sissejuhatus keskkonnatehnoloogiasse,15,0,0,0,0,0,0,0,1
S,LT,LTOM,LOOM.02.347,Linnaplaneerimise alused,0,0,7,13,1,0,0,0,3
S,LT,LTOM,LOOM.03.004,Sedimentoloogia,0,0,3,3,3,0,0,0,0
S,LT,LTOM,LOOM.03.005,Struktuurigeoloogia ja geoloogilised kaardid,0,0,6,2,0,1,0,0,1
S,LT,LTOM,LOOM.03.017,Mineraloogia,0,0,3,2,3,1,0,0,0
S,LT,LTOM,LOOM.03.050,Maa ja biosfääri areng ja globaalmuutused,0,0,4,3,5,1,0,0,0
S,LT,LTOM,LOOM.03.051,Paleontoloogia ja stratigraafia alused,0,0,4,2,3,2,2,0,0
S,LT,LTOM,LOOM.03.063,Maateaduste alused I,0,0,6,9,5,6,4,0,2
S,LT,LTOM,LOOM.03.078,Ehitusgeoloogia,0,0,3,3,2,0,0,0,0
S,LT,LTOM,LOOM.03.081,Kaevandusalade rekultiveerimine,0,0,4,0,3,0,0,0,0
S,LT,LTOM,LOOM.03.082,Geoloogiline seadusandlus,0,0,2,4,0,0,0,0,0
S,LT,LTOM,LOOM.03.083,Hüdrogeoloogia,0,0,4,2,3,0,1,0,0
S,LT,LTOM,LOOM.03.086,Geodünaamika ja tahke Maa füüsika alused,0,0,3,5,2,1,0,0,0
S,LT,LTOM,LOOM.03.115,Maateaduste alused I,0,0,7,3,8,1,1,0,2
S,LT,LTOM,LOOM.03.120,Kristalsete kivimite petroloogia,0,0,1,2,1,1,0,0,0
S,LT,LTOM,LOOM.03.127,Geoloogia magistriseminar,5,0,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.03.128,Geoloogia erialakirjandus ja terminoloogia,5,0,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.03.129,Geoloogia erialavälipraktika,5,0,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.03.134,Erialane sissejuhatus geoloogiasse,14,0,0,0,0,0,0,0,1
S,LT,LTOM,LOOM.03.140,Labori- ja ettevõttepraktika geoloogias ja keskkonnatehnoloogias,8,0,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.04.002,Etoloogia,0,0,12,33,36,21,2,4,5
S,LT,LTOM,LOOM.04.011,Molekulaarne ökoloogia ja süstemaatika,0,0,5,5,1,1,0,0,0
S,LT,LTOM,LOOM.04.019,Parasitoloogia,0,0,0,4,2,1,0,0,0
S,LT,LTOM,LOOM.04.025,Molekulaarse ökoloogia ja süstemaatika praktikum,5,0,0,0,0,0,0,0,1
S,LT,LTOM,LOOM.04.028,Entomoloogia,0,0,0,4,1,1,0,0,1
S,LT,LTOM,LOOM.04.034,Üldine hüdrobioloogia,0,0,10,4,4,1,1,0,1
S,LT,LTOM,LOOM.04.038,Käitumisökoloogia,0,0,6,7,1,3,0,0,10
S,LT,LTOM,LOOM.04.047,Loomade ökofüsioloogia,0,0,1,5,3,0,0,0,0
S,LT,LTOM,LOOM.04.052,Katseandmete analüüs,0,0,3,6,4,4,1,2,2
S,LT,LTOM,LOOM.04.075,Eriseminar zooloogias ja hüdrobioloogias,7,0,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.04.076,Erialapraktika zooloogias ja hüdrobioloogias,6,0,0,0,0,0,0,0,0
S,LT,LTOM,LOOM.04.077,Selgrootute zooloogia,0,0,27,14,9,0,2,0,2
S,LT,LTOM,LOOM.04.078,Selgroogsete zooloogia,0,0,10,12,7,1,3,0,1
S,LT,LTOM,LOOM.04.084,Looduskaitsebioloogia,0,0,6,10,10,3,1,2,5
S,LT,LTOM,LTOM.00.002,Juhendaja seminar,17,1,0,0,0,0,0,0,0
S,LT,LTOM,LTOM.00.007,Teadusandmete haldus ja publitseerimine,22,3,0,0,0,0,0,0,1
S,LT,LTOM,LTOM.00.008,"Globaalmuutused, looduskeskkond ja inimene",0,0,19,5,1,0,0,0,0
S,LT,LTOM,LTOM.00.009,Teadustöö üldised ja metodoloogilised printsiibid,15,2,0,0,0,0,0,0,0
S,LT,LTOM,LTOM.00.010,Liigiline mitmekesisus Eestis ja Euroopas,0,0,4,9,2,1,0,0,0
S,LT,LTOM,LTOM.00.012,Magistriseminar,8,0,0,0,0,0,0,0,0
S,LT,LTOM,LTOM.01.002,Ökoloogiliste koosluste andmeanalüüs,0,0,8,5,2,0,0,0,0
S,LT,LTOM,LTOM.02.006,Energiavood ja aineringed,0,0,17,4,0,0,0,0,1
S,LT,LTOM,LTOM.02.008,Erialapraktika,0,0,4,3,1,1,0,0,0
S,LT,LTOM,LTOM.02.011,Ruumiandmete stuudio,0,0,10,6,3,0,0,0,0
S,LT,LTOM,LTOM.02.012,Geoinformaatika alused,0,0,10,11,1,0,0,0,0
S,LT,LTOM,LTOM.02.015,Tarkvara ArcGIS,54,11,0,0,0,0,0,0,0
S,LT,LTOM,LTOM.02.023,PostgreSQL/PostGIS ja GeoServeri (WMS) alused,12,0,0,0,0,0,0,0,2
S,LT,LTOM,LTOM.02.024,3D modelleerimine ja analüüs,10,0,0,0,0,0,0,0,0
S,LT,LTOM,LTOM.02.025,Ruumiandmete analüüs Pythoni ja R-iga,0,0,8,6,6,0,1,0,1
S,LT,LTOM,LTOM.02.027,Eriala menetluspraktika,7,0,0,0,0,0,0,0,0
S,LT,LTOM,LTOM.02.029,Ettevõtlusprojekt,18,2,0,0,0,0,0,0,0
S,LT,LTOM,LTOM.02.030,"Demograafia, globaalne ränne ja linnad",0,0,0,9,0,0,0,0,4
S,LT,LTOM,LTOM.03.002,Ettevõttepraktika,8,0,0,0,0,0,0,0,0
S,LT,LTOM,LTOM.03.006,Isotoopgeokeemia ja geokeemiline modelleerimine,0,0,7,1,0,0,0,0,0
S,LT,LTOM,LTOM.04.002,Fülogeneesipuude rakendused ökoloogias ja evolutsioonis,0,0,1,2,2,1,1,0,0
S,LT,LTOM,LTOM.04.005,Troopikabioloogia,0,0,4,3,1,0,0,0,1
S,LT,LTOM,LTOM.04.009,Loomkatsete eetika,0,0,6,0,0,0,0,0,0
S,LT,LTOM,LTOM.05.001,Praktilised tööd ja IKT rakendamine loodusteaduste õpetamisel,20,1,0,0,0,0,0,0,0
S,LT,LTOM,LTOM.05.002,Kooligeograafia,0,0,3,8,4,1,0,0,0
S,LT,LTOM,LTOM.05.003,Teadusmetodoloogia,8,0,0,0,0,0,0,0,0
S,LT,LTOM,LTOM.05.005,Inimese anatoomia ja füsioloogia koolis,0,0,12,0,0,0,0,0,2
S,LT,LTOM,LTOM.05.010,"Looma-, taime- ja seeneriik põhikoolis",0,0,7,0,0,0,0,0,2
S,LT,LTOM,LTOM.05.011,Raku- ja mikrobioloogia põhikoolis,0,0,0,0,0,0,0,0,0
S,LT,LTOM,LTOM.05.017,Geneetika ja evolutsioon õpetajatele,0,0,10,1,0,0,0,0,0
S,LT,LTOM,LTOM.05.018,Teadushuviringi juhendamine,8,0,0,0,0,0,0,0,0
S,LT,LTTI,LOTI.00.001,Doktoritöö,16,0,0,0,0,0,0,0,0
S,LT,LTTI,LOTI.01.001,Intellektuaalne omand,19,0,0,0,0,0,0,0,0
S,LT,LTTI,LOTI.01.005,Võtmetehnoloogiad tänapäeval,23,0,0,0,0,0,0,0,0
S,LT,LTTI,LOTI.02.015,Reprodutseeritav andmeanalüüs R-keeles,9,0,0,0,0,0,0,0,0
S,LT,LTTI,LOTI.05.010,Robootika,0,0,19,32,20,8,1,4,25
S,LT,LTTI,LOTI.05.019,Andmeanalüüs ja arvutused MATLAB-iga,13,2,0,0,0,0,0,0,0
S,LT,LTTI,LOTI.05.021,Arvutiriistvara praktikum,62,11,0,0,0,0,0,0,9
S,LT,LTTI,LOTI.05.022,Riistvaraprojekt,0,0,7,6,4,4,2,2,0
S,LT,LTTI,LOTI.05.023,Robootika praktikum,0,0,20,0,0,7,2,0,0
S,LT,LTTI,LOTI.05.024,Sissejuhatus erialasse,46,2,0,0,0,0,0,0,0
S,LT,LTTI,LOTI.05.030,Kompuuterfüüsika I,0,0,9,9,0,0,0,0,3
S,LT,LTTI,LOTI.05.031,Magistriseminar arvutitehnikas ja robootikas,33,0,0,0,0,0,0,0,0
S,LT,LTTI,LOTI.05.037,Digitaalne pilditöötlus,0,0,10,7,3,0,0,0,2
S,LT,LTTI,LOTI.05.041,Digitaalne loogika,0,0,7,5,4,7,4,2,2
S,LT,LTTI,LOTI.05.043,Menetluspraktika arvutitehnikas,7,0,0,0,0,0,0,0,0
S,LT,LTTI,LOTI.05.044,Õpetamise praktika,6,0,0,0,0,0,0,0,0
S,LT,LTTI,LOTI.05.045,Erialane praktika,16,0,0,0,0,0,0,0,0
S,LT,LTTI,LOTI.05.052,Andmehõive ja signaalitöötlus,0,0,2,4,2,1,0,0,1
S,LT,LTTI,LOTI.05.054,Elektroonika I,0,0,0,2,3,2,0,0,2
S,LT,LTTI,LOTI.05.061,Elektroonika II,0,0,1,0,3,1,0,0,1
S,LT,LTTI,LOTI.05.065,Elektroonika,0,0,6,11,11,2,0,4,1
S,LT,LTTI,LOTI.05.068,Elektroonika õpetajatele,0,0,5,0,0,0,0,0,0
S,LT,LTTI,LOTI.05.082,Pehmerobootika,0,0,10,6,0,0,0,1,0
S,LT,LTTI,LOTI.05.083,Rajaplaneerimine ja olekuhindamine robootikas,0,0,5,2,2,0,0,0,1
S,LT,LTTI,LTTI.00.002,Sissejuhatav laboritöö praktikum,47,3,0,0,0,0,0,0,0
S,LT,LTTI,LTTI.00.004,Elektroonika alused,0,0,44,0,0,1,1,0,0
S,LT,LTTI,LTTI.00.008,Süsteemibioloogia,0,0,9,13,11,8,6,2,1
S,LT,LTTI,LTTI.00.009,Molekulaarne süsteemibioloogia,0,0,2,3,2,4,2,0,0
S,LT,LTTI,LTTI.00.010,"Süsteemide modelleerimine (praktikum, MATLAB)",26,0,0,0,0,0,0,0,0
S,LT,LTTI,LTTI.00.011,Biomeditsiinitehnika,0,0,7,6,3,1,0,0,1
S,LT,LTTI,LTTI.00.018,Sünteetilise bioloogia praktikum II,0,0,13,0,1,0,0,0,0
S,LT,LTTI,LTTI.00.023,Sünteetiline bioloogia ja tööstuslikud rakuvabrikud,0,0,4,3,1,2,1,0,0
S,LT,LTTI,LTTI.00.026,Ravimite disain ja arendus,0,0,3,2,2,0,0,0,0
S,LT,LTTI,LTTI.00.027,Keskkonna biotehnoloogia ja jätkusuutlik biomajandus,0,0,0,1,5,0,0,0,0
S,LT,LTTI,LTTI.00.028,Biomaterjalide arendamine ja rakendamine,0,0,0,1,2,1,1,0,0
S,LT,LTTI,LTTI.00.029,Nano- ja mikromeditsiin,0,0,2,4,1,0,0,0,0
S,LT,LTTO,LTTO.00.004,Kosmosetehnoloogia projekt,16,0,0,0,0,0,0,0,0
S,LT,LTTO,LTTO.00.007,Kaugseire,0,0,9,5,5,5,0,0,1
S,LT,LTTO,LTTO.00.008,Kaugseire rakendused,0,0,1,10,3,0,4,0,0
S,LT,LTTO,LTTO.00.011,Kosmosetehnoloogia alused,0,0,4,5,1,0,0,0,2
S,MV, ,AR00.00.066,Kirurgia,0,0,8,26,40,13,2,1,0
S,MV, ,AR00.00.083,Doktoritöö,38,0,0,0,0,0,0,0,0
S,MV, ,AR00.00.100,Teadustöö üliõpilastele,0,0,186,0,0,0,0,0,0
S,MV, ,MV00.00.003,Sisemeditsiini praktika,65,0,0,0,0,0,0,0,0
S,MV, ,MV00.00.004,Kirurgia praktika,71,0,0,0,0,0,0,0,0
S,MV, ,MV00.00.005,Peremeditsiini praktika,57,0,0,0,0,0,0,0,0
S,MV, ,MV00.00.006,Erakorralise meditsiini praktika,69,0,0,0,0,0,0,0,0
S,MV, ,MV00.00.007,Praktika valiktsükkel,45,0,0,0,0,0,0,0,0
S,MV, ,MV00.00.015,Sisehaigused,0,0,3,18,25,13,18,0,0
S,MV,MVBS,ARAN.01.019,Närvisüsteemi morfoloogia,0,0,1,5,1,0,0,0,0
S,MV,MVBS,ARAN.01.028,Anatoomia,0,0,7,12,16,29,18,7,1
S,MV,MVBS,ARAN.01.034,Anatoomia,0,0,9,1,5,7,7,0,1
S,MV,MVBS,ARAN.01.038,Anatoomia,0,0,0,0,0,0,0,0,0
S,MV,MVBS,ARAN.01.039,Anatoomia,0,0,0,0,0,0,0,0,0
S,MV,MVBS,ARAN.01.043,Lihaste preparatsioon,40,0,0,0,0,0,0,0,0
S,MV,MVBS,ARAN.02.005,Histoloogia,0,0,0,0,0,0,0,0,0
S,MV,MVBS,ARAN.02.024,Histoloogia,0,0,0,0,0,0,0,0,0
S,MV,MVBS,ARBK.01.003,Meditsiiniline biokeemia,0,0,12,9,4,1,0,0,1
S,MV,MVBS,ARBK.01.030,Meditsiiniline biokeemia,187,0,0,0,0,0,0,0,0
S,MV,MVBS,ARBK.01.042,Orgaaniline ja bioorgaaniline keemia,0,0,19,12,12,3,2,1,1
S,MV,MVBS,ARBK.01.043,Meditsiiniline biokeemia,0,0,8,3,5,3,0,0,0
S,MV,MVBS,ARBS.04.001,Vähibioloogia erialaseminar,5,0,0,0,0,0,0,0,0
S,MV,MVBS,ARFR.02.011,Farmakoloogia,0,0,17,2,3,3,0,0,0
S,MV,MVBS,ARFR.02.026,Kliiniline farmakoloogia,33,0,0,0,0,0,0,0,0
S,MV,MVBS,ARFR.02.034,Ravimite toksikoloogia,17,0,0,0,0,0,0,0,0
S,MV,MVBS,ARFR.02.037,Farmakoloogia ja toksikoloogia,154,3,0,0,0,0,0,0,0
S,MV,MVBS,ARFR.02.051,Farmakoloogia,26,0,0,0,0,0,0,0,0
S,MV,MVBS,ARFR.02.052,Farmakoteraapia,0,0,1,6,8,1,0,0,0
S,MV,MVBS,ARFR.02.058,Neuropsühhofarmakoloogia,0,0,1,3,1,0,0,1,0
S,MV,MVBS,ARFR.03.019,Kliiniline farmakoloogia,85,0,0,0,0,0,0,0,0
S,MV,MVBS,ARFS.01.005,Valu neurofüsioloogilised mehhanismid,42,0,0,0,0,0,0,0,3
S,MV,MVBS,ARFS.01.023,Biofüüsika,0,0,56,70,58,27,22,4,6
S,MV,MVBS,ARFS.01.030,Inimese füsioloogia,0,0,0,0,0,0,0,0,0
S,MV,MVBS,ARFS.01.032,Inimese füsioloogia,0,0,0,0,0,0,0,0,0
S,MV,MVBS,ARFS.01.063,Inimese füsioloogia,0,0,5,6,7,1,0,0,0
S,MV,MVBS,ARFS.01.069,Närviteadus,0,0,7,5,0,0,0,0,0
S,MV,MVBS,ARFS.01.070,Kaasaegsed suunad neuroteaduses 1,0,0,0,0,0,0,0,0,0
S,MV,MVBS,ARFS.01.078,Normaalne ja patoloogiline anatoomia ja füsioloogia,58,0,6,18,5,0,0,0,3
S,MV,MVBS,ARMB.01.004,Meditsiiniline mikrobioloogia,27,0,0,0,0,0,0,0,0
S,MV,MVBS,ARMB.01.020,Meditsiiniline mikrobioloogia,188,1,0,0,0,0,0,0,0
S,MV,MVBS,ARMB.01.053,Kliiniline mikrobioloogia,19,0,0,0,0,0,0,0,0
S,MV,MVBS,ARMB.01.055,Kliiniline mikrobioloogia. Pea ja kaela piirkonna infektsioonid,33,0,0,0,0,0,0,0,0
S,MV,MVBS,ARMP.01.026,Inimese molekulaarne ja kliiniline geneetika,0,0,49,19,12,3,1,0,0
S,MV,MVBS,ARMP.01.029,Bioloogia,0,0,29,34,51,43,25,4,5
S,MV,MVBS,ARMP.01.034,Bioloogia,0,0,5,10,8,6,2,0,0
S,MV,MVBS,ARMP.02.007,Immunoloogia,0,0,21,39,73,45,6,0,1
S,MV,MVBS,ARMP.02.029,Immunoloogia,0,0,3,7,11,3,2,0,1
S,MV,MVBS,ARMP.03.015,Patoloogiline füsioloogia,0,0,93,51,7,2,0,2,0
S,MV,MVBS,ARMP.03.024,Patoloogiline füsioloogia,0,0,11,12,11,4,2,1,0
S,MV,MVBS,ARPA.01.014,Patoloogiline anatoomia,0,0,99,14,22,15,2,2,0
S,MV,MVBS,ARPA.01.028,Patoloogiline anatoomia,0,0,17,6,1,1,0,0,0
S,MV,MVBS,ARPA.02.012,Kohtuarstiteadus,79,0,0,0,0,0,0,0,0
S,MV,MVBS,MVBS.00.004,Erialapraktika biomeditsiinis,6,0,0,0,0,0,0,0,0
S,MV,MVBS,MVBS.02.001,Farmakoloogia ja toksikoloogia,0,0,4,3,1,0,0,0,0
S,MV,MVBS,MVBS.02.006,Ravimite toksikoloogia,50,0,0,0,0,0,0,0,0
S,MV,MVBS,MVBS.02.007,Kliiniline farmakoloogia,50,0,0,0,0,0,0,0,0
S,MV,MVBS,MVBS.02.008,Tartu-Islandi teadusprojektide vahetusprogramm,0,0,0,0,0,0,0,0,0
S,MV,MVBS,MVBS.06.001,Immunoloogia,0,0,0,3,6,1,1,0,1
S,MV,MVCM,ARAI.01.039,Esmaabi,220,0,0,0,0,0,0,0,3
S,MV,MVCM,ARAI.01.045,Anestesioloogia ja intensiivravi,90,0,0,0,0,0,0,0,0
S,MV,MVCM,ARAI.01.050,Anestesioloogia ja erakorraline meditsiin,33,0,0,0,0,0,0,0,0
S,MV,MVCM,ARAI.01.054,Kriitilised seisundid erakorralises meditsiinis,102,0,0,0,0,0,0,0,0
S,MV,MVCM,ARHO.02.002,Onkoloogia,91,0,0,0,0,0,0,0,0
S,MV,MVCM,ARKI.01.010,Üldkirurgia,0,0,3,13,6,3,0,0,0
S,MV,MVCM,ARKI.01.011,Äge kõht,41,0,0,0,0,0,0,0,0
S,MV,MVCM,ARKI.01.013,Plastika- ja rekonstruktiivkirurgia,17,1,0,0,0,0,0,0,1
S,MV,MVCM,ARKR.01.002,Kõrva-nina-kurguhaigused,0,0,8,4,8,5,0,0,0
S,MV,MVCM,ARKR.01.024,"Kuulmis-ja kõneelundite anatoomia, füsioloogia ja patoloogia",38,0,0,0,0,0,0,0,2
S,MV,MVCM,ARKR.01.028,Kõrva-nina-kurguhaigused,0,0,30,29,15,5,5,0,0
S,MV,MVCM,ARLA.01.027,Lastehaigused,33,0,0,0,0,0,0,0,0
S,MV,MVCM,ARLA.01.042,Lastehaigused,0,0,16,40,30,5,1,0,0
S,MV,MVCM,ARNH.01.030,Seitse sügelevat nahahaigust,21,0,0,0,0,0,0,0,2
S,MV,MVCM,ARNH.01.031,Sagedasemad nahahaigused näol,29,0,0,0,0,0,0,0,4
S,MV,MVCM,ARNH.01.033,Naha- ja suguhaigused,0,0,52,28,13,0,0,0,0
S,MV,MVCM,ARNR.00.017,Valitud loengud neuroloogias ja neurokirurgias,29,0,0,0,0,0,0,0,0
S,MV,MVCM,ARNR.00.019,Teadustöö alused neuroloogias ja neurokirurgias I,9,0,0,0,0,0,0,0,0
S,MV,MVCM,ARNR.01.024,Neuroloogia,25,0,0,0,0,0,0,0,0
S,MV,MVCM,ARNR.01.036,Neuroloogia ja neurokirurgia,0,0,54,25,12,2,2,0,0
S,MV,MVCM,ARNR.01.038,Kõnehäirete kliiniline käsitlus,0,0,10,3,0,0,0,0,0
S,MV,MVCM,ARNS.01.032,Naistehaigused ja sünnitusabi,0,0,15,51,25,7,1,0,0
S,MV,MVCM,ARPS.01.005,Psühhopatoloogia,0,0,7,8,19,22,15,1,8
S,MV,MVCM,ARPS.01.006,Lapse ja nooruki psühhopatoloogia,0,0,8,8,3,0,1,0,0
S,MV,MVCM,ARPS.01.050,Psühhiaatria,25,0,0,0,0,0,0,0,0
S,MV,MVCM,ARPS.01.078,Psühhiaatria,0,0,41,30,10,3,1,0,0
S,MV,MVCM,ARRD.00.016,Kliiniline radioloogia,165,0,0,0,0,0,0,0,0
S,MV,MVCM,ARSI.01.002,Silmahaigused,0,0,13,58,14,2,0,0,0
S,MV,MVCM,ARSI.01.011,Silmahaigused,25,0,0,0,0,0,0,0,0
S,MV,MVCM,ARSI.01.015,"Prillid, kontaktläätsed ja refraktiivne kirurgia",13,0,0,0,0,0,0,0,0
S,MV,MVCM,ARSK.01.015,Sisehaigused,0,0,19,9,4,6,3,0,0
S,MV,MVCM,ARSK.03.016,Proovivõtt ja selle kvaliteedi tagamine,21,1,0,0,0,0,0,0,0
S,MV,MVCM,ARSK.03.017,Sissejuhatus laborimeditsiini,26,0,0,0,0,0,0,0,0
S,MV,MVCM,ARSK.05.014,Tervishoiu kvaliteedi hindamine ja juhtimine,14,0,0,0,0,0,0,0,0
S,MV,MVCM,ARSK.05.019,Haige uurimine sisekliinikus,20,0,0,0,0,0,0,0,0
S,MV,MVCM,ARSM.00.013,Taastusravi,97,0,0,0,0,0,0,0,0
S,MV,MVCM,ARSM.00.014,Sporditraumatoloogia,8,0,0,0,0,0,0,0,0
S,MV,MVCM,ARSM.00.015,Harrastusspordi võlud ja valud,25,0,0,0,0,0,0,0,0
S,MV,MVCM,ARTO.01.030,Traumatoloogia ja ortopeedia,0,0,2,7,21,4,8,0,0
S,MV,MVCM,MVBS.00.002,Laborimeditsiin,0,0,7,4,1,1,0,0,0
S,MV,MVCM,MVCM.03.002,TEAM kursus: Traumahaige esmakäsitlus ATLS printsiipidel,22,0,0,0,0,0,0,0,0
S,MV,MVFA,ARFA.00.040,Statistiline andmetöötlus,36,0,0,0,0,0,0,0,0
S,MV,MVFA,ARFA.00.057,Uurimistöö,11,0,0,0,0,0,0,0,0
S,MV,MVFA,ARFA.01.060,Sotsiaalfarmaatsia erialakirjanduses ja internetis,9,0,0,0,0,0,0,0,0
S,MV,MVFA,ARFA.01.082,Sotsiaalfarmaatsia ja ravimite ohutus,16,0,0,0,0,0,0,0,0
S,MV,MVFA,ARFA.01.105,Farmakognoosia II,0,0,1,5,3,7,9,1,0
S,MV,MVFA,ARFA.01.108,Sissejuhatus erialasse ja farmaatsia ajalugu,29,2,0,0,0,0,0,0,0
S,MV,MVFA,ARFA.01.109,Proviisor farmaatsiasektoris,29,2,0,0,0,0,0,0,0
S,MV,MVFA,ARFA.02.036,Ravimpreparaatide toimekestvuse modifitseerimine,0,0,2,0,2,1,0,0,0
S,MV,MVFA,ARFA.02.040,Uurimistöö planeerimine,14,0,0,0,0,0,0,0,0
S,MV,MVFA,ARFA.02.081,Radiofarmatseutilised preparaadid,15,2,0,0,0,0,0,0,0
S,MV,MVFA,ARFA.02.099,Analüütiline keemia,0,0,0,4,4,4,7,0,0
S,MV,MVFA,ARFA.02.108,Bioeetika,19,0,0,0,0,0,0,0,0
S,MV,MVFA,ARFA.02.112,Farmatseutiline keemia II,0,0,0,3,8,10,5,0,0
S,MV,MVFA,ARFA.02.113,Farmatseutiline tehnoloogia,0,0,4,7,12,10,10,0,0
S,MV,MVFA,ARFA.02.122,Füüsikaline farmaatsia,0,0,6,4,2,1,3,0,0
S,MV,MVFA,ARFA.02.128,Teadustöö alused farmaatsias I,22,2,0,0,0,0,0,0,0
S,MV,MVFA,ARFA.02.130,Teadustöö alused farmaatsias III,5,0,0,0,0,0,0,0,0
S,MV,MVFA,ARFA.02.132,Polümeer- ja nanokatted,0,0,2,1,1,1,0,0,0
S,MV,MVFA,MVFA.00.013,Uurimistöö seminar III,50,0,0,0,0,0,0,0,0
S,MV,MVFA,MVFA.00.014,Raviainete metabolism,0,0,17,27,4,2,0,0,0
S,MV,MVFA,MVFA.00.015,Biofarmaatsia,0,0,3,6,12,13,16,0,0
S,MV,MVFA,MVFA.00.016,Kliiniline farmaatsia,50,0,0,0,0,0,0,0,0
S,MV,MVFA,MVFA.00.017,Farmakoepidemioloogia ja farmakoökonoomika,50,0,0,0,0,0,0,0,0
S,MV,MVFA,MVFA.00.019,Ravimitest maakeeli,115,3,0,0,0,0,0,0,0
S,MV,MVFA,MVFA.00.023,Ravimvormide analüüsimine,50,0,0,0,0,0,0,0,0
S,MV,MVFA,MVFA.00.025,Ravimite nõustamine apteegipraktikas,50,0,0,0,0,0,0,0,0
