SEMESTER,AINE_VK,AINE_INST,AINEKOOD,AINE,vaartus_0,vaartus_1,vaartus_2,vaartus_3,vaartus_4,toomaht_0,toomaht_1,toomaht_2,toomaht_3,hinne_A,hinne_B,hinne_C,hinne_D,hinne_E,hinne_F,arvestatud,mittearvestatud,mitteilmunud
S,LT,LTMS,MTMM.00.324,Sissejuhatus matemaatika erialasse,,,1,6,8,,,12,3,,,,,,,15,,
S,LT,LTMS,MTMM.00.327,Analüütiline geomeetria,,1,5,13,19,,1,33,4,8,2,9,5,4,8,,,2
S,LT,LTMS,MTMM.00.328,Matemaatilise teksti küljendamine,,,4,9,26,1,3,31,4,,,,,,,31,8,
S,LT,LTMS,MTMM.00.340,Kõrgem matemaatika I,6,21,22,100,127,5,98,169,4,49,33,40,45,70,36,,,1
S,LT,LTMS,MTMM.00.342,Matemaatiline maailmapilt,4,9,19,89,92,2,46,163,2,20,17,32,44,61,37,,,2
S,LT,LTMS,MTMM.00.351,Matemaatiline kirjaoskus,,,2,2,4,,,8,,,,,,,,8,,
S,LT,LTMS,MTMM.00.352,Matemaatika koolis,,,,3,4,,,7,,3,4,,,,,,,
S,LT,LTMS,MTMS.01.010,Katseplaneerimise teooria,,,,3,3,,,6,,,,,,,,6,,
S,LT,LTMS,MTMS.01.014,Struktuurivõrrandite mudelid,,,,1,4,,,3,2,,,,,,,5,,
S,LT,LTMS,MTMS.01.023,Aegridade analüüs,,1,3,5,12,,1,16,4,2,4,7,3,4,,,,1
S,LT,LTMS,MTMS.01.033,Monte-Carlo meetodid,,,,2,8,,1,9,,2,3,3,1,1,,,,
S,LT,LTMS,MTMS.01.035,Matemaatiline statistika II,1,1,1,1,8,,4,7,1,3,2,2,,,5,,,
S,LT,LTMS,MTMS.01.037,Mitteparameetriline statistika,,,1,1,13,,3,12,,,,,,,,14,1,
S,LT,LTMS,MTMS.01.049,Tõenäosuse ja statistika algkursus,1,4,3,22,41,1,8,59,3,10,15,12,10,17,5,,,2
S,LT,LTMS,MTMS.01.055,Sissejuhatus statistika erialasse,,1,1,3,10,3,,9,3,,,,,,,15,,
S,LT,LTMS,MTMS.01.066,Dispersioonanalüüsi segamudelid,,,2,,4,,,6,,,,,,,,6,,
S,LT,LTMS,MTMS.01.069,Andmeanalüüs I,2,,,5,13,1,2,17,,4,7,6,,,3,,,
S,LT,LTMS,MTMS.01.099,Matemaatiline statistika,3,,2,12,23,4,3,33,,8,13,8,4,2,5,,,
S,LT,LTMS,MTMS.02.003,Juhuslikud protsessid,,,1,4,10,,,14,1,4,2,,3,4,,,,2
S,LT,LTMS,MTMS.02.004,Tõenäosusteooria II,,3,3,3,7,,10,6,,4,3,2,1,2,4,,,
S,LT,LTMS,MTMS.02.015,Riskiteooria,,2,4,9,4,,,15,4,7,4,5,1,2,,,,
S,LT,LTMS,MTMS.02.023,Jaotused finantsmatemaatikas,,1,1,2,3,,1,6,,,,,,,,7,,
S,LT,LTMS,MTMS.02.038,Simulatsioonimeetodid finantsmatemaatikas,,,,,7,,1,6,,1,2,2,1,1,,,,
S,LT,LTMS,MTMS.02.048,Tõenäosusteooria seminar,,1,,1,5,,4,3,,,,,,,,7,,
S,LT,LTMS,MTMS.02.050,Tõenäosusteooria ja statistika II,,,1,4,11,,,14,2,4,3,7,1,1,,,,
S,LT,LTMS,MTMS.02.051,Elukindlustusmatemaatika I,,1,4,5,4,,3,10,1,3,5,3,1,,1,,,1
S,LT,LTMS,MTMS.02.053,Kahjukindlustusmatemaatika,,,,5,17,,,22,,5,6,7,4,,,,,
S,LT,LTMS,MTMS.02.059,Tõenäosusteooria ja matemaatiline statistika,3,2,4,10,12,4,2,24,1,2,2,7,3,4,12,,,1
S,LT,LTOM,LOLH.00.010,Bioloogia koolis,,,1,4,6,,,11,,9,1,1,,,,,,
S,LT,LTOM,LOLH.00.011,Geograafia koolis,,,3,3,9,,,12,3,13,2,,,,,,,
S,LT,LTOM,LOLO.00.049,Geograafia didaktika,,,,,5,,,5,,2,2,1,,,,,,
S,LT,LTOM,LOLO.00.060,Bioloogia didaktika,,1,,,12,,,12,1,11,,1,,,,,,1
S,LT,LTOM,LOLO.00.074,Loodusteaduste didaktika I,,,2,,4,,1,5,,,,,,,,,,
S,LT,LTOM,LOLO.00.075,Loodusteaduste didaktika II,,,,2,8,,2,8,,10,,,,,,,,
S,LT,LTOM,LOLO.00.076,Koolibioloogia I,,,,2,5,,,5,2,7,,,,,,,,
S,LT,LTOM,LOOM.00.031,Geoloogia ja keskkonnatehnoloogia rakendused,,,,,7,,,7,,,,,,,,7,,
S,LT,LTOM,LOOM.01.073,Ökoloogia rakendusi,,,1,5,3,,1,7,1,5,3,,1,,,,,
S,LT,LTOM,LOOM.01.121,Sissejuhatus eukarüootide mitmekesisusse - protistid ja seened,,,3,5,11,,,19,,7,3,5,3,1,,,,
S,LT,LTOM,LOOM.01.123,Taimeanatoomia ja -morfoloogia,,1,2,4,10,,7,10,,3,3,5,3,2,,,,1
S,LT,LTOM,LOOM.01.127,Biosüstemaatika ja elurikkuse informaatika,,1,1,1,2,,,4,1,2,2,1,,,,,,
S,LT,LTOM,LOOM.02.001,Globaalökoloogia,,,,1,8,,,9,,6,3,,,,,,,
S,LT,LTOM,LOOM.02.009,Kartograafia,,,,,8,,4,4,,3,2,1,2,,,,,
S,LT,LTOM,LOOM.02.011,MicroStation,,,,3,5,,2,6,,,,,,,,8,,
S,LT,LTOM,LOOM.02.044,Geoinformaatika,,,8,13,9,,,28,2,14,9,4,2,,,,,
S,LT,LTOM,LOOM.02.049,Illustrator,,,,,12,,2,10,,,,,,,,12,,
S,LT,LTOM,LOOM.02.073,Inimgeograafia uurimismeetodid,,1,1,2,3,,4,3,,1,1,4,1,,,,,
S,LT,LTOM,LOOM.02.094,Maailmamajanduse geograafia,,,,2,8,,3,7,,2,2,3,3,,,,,
S,LT,LTOM,LOOM.02.097,Planeerimise alused,,1,2,8,6,,4,13,,3,6,8,,,,,,
S,LT,LTOM,LOOM.02.106,Turismigeograafia,,,,3,11,,,14,,6,5,3,,,,,,
S,LT,LTOM,LOOM.02.119,Informatsiooni ja kommunikatsioonitehnoloogia geograafia ja mobiilpositsioneerimine,,,,1,7,,,7,1,2,5,,1,,,,,
S,LT,LTOM,LOOM.02.121,Ühiskonnageograafia teoreetilised lähtekohad,,,2,1,4,,2,5,,2,1,3,1,,,,,
S,LT,LTOM,LOOM.02.130,Geomorfoloogia,,,1,2,8,,,11,,4,1,3,1,,1,,,1
S,LT,LTOM,LOOM.02.136,Geosüsteemide modelleerimine,,,1,2,4,,1,5,1,4,2,1,,,,,,
S,LT,LTOM,LOOM.02.143,Hüdroloogia,,3,,4,4,,2,9,,3,1,3,1,1,,,,2
S,LT,LTOM,LOOM.02.153,Statistiline andmetöötlus,,,,3,7,,,9,1,5,4,,1,,,,,
S,LT,LTOM,LOOM.02.162,Keskkonnajuhtimine ja keskkonnaaudit,1,1,2,7,8,,1,18,,11,8,,,,,,,
S,LT,LTOM,LOOM.02.173,Eesti loodusgeograafia,,,1,2,19,1,1,20,,6,11,4,,,,,,1
S,LT,LTOM,LOOM.02.193,Dendrokronoloogia,,,,1,7,,,8,,5,3,,,,,,,
S,LT,LTOM,LOOM.02.194,Keskkonnatehnoloogiad,,1,1,6,4,,1,9,2,,,,,,,12,,
S,LT,LTOM,LOOM.02.236,Inimgeograafia alused,,,,3,9,,1,10,1,1,6,4,1,,,,,
S,LT,LTOM,LOOM.02.244,Geograafilise mõtte kujunemine ja geograafia ajalugu,,1,,2,5,,1,7,,2,1,2,2,1,,,,
S,LT,LTOM,LOOM.02.279,Keskkonna mikrobioloogia,,,1,5,2,,,6,2,5,2,,1,,,,,
S,LT,LTOM,LOOM.02.341,Demograafia ja sotsiaalne linnageograafia,1,,4,2,11,,1,17,,13,5,,,,,,,
S,LT,LTOM,LOOM.02.342,Erialane sissejuhatus keskkonnatehnoloogiasse,,,1,1,4,,,6,,,,,,,,6,,
S,LT,LTOM,LOOM.02.347,Linnaplaneerimise alused,,1,,4,12,,2,15,,6,9,1,,,,,,1
S,LT,LTOM,LOOM.03.005,Struktuurigeoloogia ja geoloogilised kaardid,1,,,2,7,1,2,7,,6,2,,1,,,,,1
S,LT,LTOM,LOOM.03.050,Maa ja biosfääri areng ja globaalmuutused,,,,2,7,,,8,1,3,2,3,1,,,,,
S,LT,LTOM,LOOM.03.051,Paleontoloogia ja stratigraafia alused,,,,2,5,,,7,,3,1,2,,1,,,,
S,LT,LTOM,LOOM.03.063,Maateaduste alused I,,,,2,13,,2,12,1,3,3,4,2,3,,,,
S,LT,LTOM,LOOM.03.078,Ehitusgeoloogia,,,,,7,,,7,,2,3,2,,,,,,
S,LT,LTOM,LOOM.03.082,Geoloogiline seadusandlus,,,,,5,,1,4,,1,4,,,,,,,
S,LT,LTOM,LOOM.03.083,Hüdrogeoloogia,,,1,1,3,,,4,1,2,1,2,,,,,,
S,LT,LTOM,LOOM.03.115,Maateaduste alused I,,,,4,6,,1,8,1,4,3,2,,,,,,1
S,LT,LTOM,LOOM.03.134,Erialane sissejuhatus geoloogiasse,,,,2,4,,,6,,,,,,,,6,,
S,LT,LTOM,LOOM.04.002,Etoloogia,,5,3,25,37,,11,59,,9,27,21,11,1,1,,,
S,LT,LTOM,LOOM.04.011,Molekulaarne ökoloogia ja süstemaatika,,,,6,4,,2,8,,4,5,,,,,,,
S,LT,LTOM,LOOM.04.019,Parasitoloogia,,,,1,5,,,6,,,4,2,,,,,,
S,LT,LTOM,LOOM.04.034,Üldine hüdrobioloogia,,,,1,10,,,10,1,6,1,3,1,,,,,
S,LT,LTOM,LOOM.04.038,Käitumisökoloogia,,,,3,8,,,11,,3,5,,3,,,,,
S,LT,LTOM,LOOM.04.047,Loomade ökofüsioloogia,,,,2,5,,,7,,1,4,2,,,,,,
S,LT,LTOM,LOOM.04.052,Katseandmete analüüs,,,,4,8,,3,9,,,4,4,2,,1,,,1
S,LT,LTOM,LOOM.04.077,Selgrootute zooloogia,,,,3,23,,,26,,11,10,4,,1,,,,
S,LT,LTOM,LOOM.04.078,Selgroogsete zooloogia,,2,5,8,8,,1,22,,8,9,3,,2,,,,1
S,LT,LTOM,LOOM.04.084,Looduskaitsebioloogia,,,,1,18,,1,17,1,5,5,5,2,1,1,,,
S,LT,LTOM,LTOM.00.007,Teadusandmete haldus ja publitseerimine,1,,,5,6,2,,8,2,,,,,,,9,3,
S,LT,LTOM,LTOM.00.008,"Globaalmuutused, looduskeskkond ja inimene",,1,1,1,16,,,19,,16,2,1,,,,,,
S,LT,LTOM,LTOM.00.009,Teadustöö üldised ja metodoloogilised printsiibid,,,1,3,5,,,9,,,,,,,,9,,
S,LT,LTOM,LTOM.00.010,Liigiline mitmekesisus Eestis ja Euroopas,,,,1,8,,2,7,,3,4,1,1,,,,,
S,LT,LTOM,LTOM.01.002,Ökoloogiliste koosluste andmeanalüüs,,,,2,8,,7,3,,6,2,2,,,,,,
S,LT,LTOM,LTOM.02.006,Energiavood ja aineringed,,,4,9,6,,,19,,15,4,,,,,,,
S,LT,LTOM,LTOM.02.011,Ruumiandmete stuudio,,,,2,11,,1,12,,6,4,3,,,,,,
S,LT,LTOM,LTOM.02.012,Geoinformaatika alused,,,,4,5,,,9,,3,6,,,,,,,
S,LT,LTOM,LTOM.02.015,Tarkvara ArcGIS,2,1,2,4,22,3,12,16,,,,,,,,29,2,
S,LT,LTOM,LTOM.02.023,PostgreSQL/PostGIS ja GeoServeri (WMS) alused,,1,,2,5,,2,5,1,,,,,,,7,,1
S,LT,LTOM,LTOM.02.024,3D modelleerimine ja analüüs,,,,,8,,,7,1,,,,,,,8,,
S,LT,LTOM,LTOM.02.025,Ruumiandmete analüüs Pythoni ja R-iga,,,,2,13,,1,14,,3,6,4,,1,,,,1
S,LT,LTOM,LTOM.02.029,Ettevõtlusprojekt,,1,1,2,2,,1,3,2,,,,,,,6,,
S,LT,LTOM,LTOM.03.006,Isotoopgeokeemia ja geokeemiline modelleerimine,,,,1,4,,,5,,5,,,,,,,,
S,LT,LTOM,LTOM.05.001,Praktilised tööd ja IKT rakendamine loodusteaduste õpetamisel,,,,5,7,,,11,1,,,,,,,9,,
S,LT,LTOM,LTOM.05.003,Teadusmetodoloogia,,,,,6,,,6,,,,,,,,6,,
S,LT,LTOM,LTOM.05.005,Inimese anatoomia ja füsioloogia koolis,,,,3,9,1,,10,1,11,,,,,,,,
S,LT,LTOM,LTOM.05.017,Geneetika ja evolutsioon õpetajatele,,,,,7,,,7,,6,1,,,,,,,
S,LT,LTTI,LOTI.01.001,Intellektuaalne omand,,,2,5,6,,8,4,1,,,,,,,13,,
S,LT,LTTI,LOTI.01.005,Võtmetehnoloogiad tänapäeval,1,,1,4,7,1,,10,2,,,,,,,13,,
S,LT,LTTI,LOTI.02.015,Reprodutseeritav andmeanalüüs R-keeles,,,,1,4,,,5,,,,,,,,5,,
S,LT,LTTI,LOTI.05.010,Robootika,2,1,8,21,43,3,58,13,1,17,24,15,6,,2,,,11
S,LT,LTTI,LOTI.05.019,Andmeanalüüs ja arvutused MATLAB-iga,,3,1,3,5,,3,8,1,,,,,,,11,1,
S,LT,LTTI,LOTI.05.021,Arvutiriistvara praktikum,,,1,13,37,,8,43,,,,,,,,44,5,2
S,LT,LTTI,LOTI.05.022,Riistvaraprojekt,,,1,3,7,,3,7,1,3,3,2,2,1,,,,
S,LT,LTTI,LOTI.05.023,Robootika praktikum,,,,3,20,,5,16,2,19,,,3,1,,,,
S,LT,LTTI,LOTI.05.024,Sissejuhatus erialasse,1,,,2,14,1,,14,2,,,,,,,17,,
S,LT,LTTI,LOTI.05.030,Kompuuterfüüsika I,,,3,3,5,,,11,,4,6,,,,,,,1
S,LT,LTTI,LOTI.05.031,Magistriseminar arvutitehnikas ja robootikas,,1,,4,18,1,,21,1,,,,,,,20,,
S,LT,LTTI,LOTI.05.037,Digitaalne pilditöötlus,,,1,5,10,,3,12,1,8,5,3,,,,,,
S,LT,LTTI,LOTI.05.041,Digitaalne loogika,,,,5,20,,,24,1,5,4,4,6,2,2,,,2
S,LT,LTTI,LOTI.05.052,Andmehõive ja signaalitöötlus,,2,,2,2,,,6,,1,3,1,1,,,,,
S,LT,LTTI,LOTI.05.065,Elektroonika,,,,6,20,,3,22,1,5,9,10,1,,1,,,
S,LT,LTTI,LOTI.05.082,Pehmerobootika,,,1,5,9,,,15,,10,5,,,,,,,
S,LT,LTTI,LOTI.05.083,Rajaplaneerimine ja olekuhindamine robootikas,,1,1,3,3,,1,6,1,5,2,1,,,,,,
S,LT,LTTI,LTTI.00.002,Sissejuhatav laboratoorne praktikum,,,2,7,28,,3,31,3,,,,,,,36,1,
S,LT,LTTI,LTTI.00.004,Elektroonika alused,,,2,2,33,,,34,3,35,,,1,1,,,,
S,LT,LTTI,LTTI.00.008,Süsteemibioloogia,,3,6,8,7,1,4,19,,6,5,5,3,5,,,,
S,LT,LTTI,LTTI.00.009,Molekulaarne süsteemibioloogia,,,1,2,2,,1,4,,1,1,,1,2,,,,
S,LT,LTTI,LTTI.00.010,"Süsteemide modelleerimine (praktikum, MATLAB)",,2,,3,8,1,,11,1,,,,,,,13,,
S,LT,LTTI,LTTI.00.011,Biomeditsiinitehnika,,,1,2,8,,1,10,,6,4,1,,,,,,
S,LT,LTTI,LTTI.00.018,Sünteetilise bioloogia praktikum II,,1,,2,5,,1,7,,8,,,,,,,,
S,LT,LTTI,LTTI.00.023,Sünteetiline bioloogia ja tööstuslikud rakuvabrikud,,,,,7,,,7,,3,2,1,1,,,,,
S,LT,LTTI,LTTI.00.028,Biomaterjalide arendamine ja rakendamine,,1,,2,2,,,4,1,,1,2,1,1,,,,
S,LT,LTTO,LTTO.00.004,Kosmosetehnoloogia projekt,,,,,8,,,8,,,,,,,,8,,
S,LT,LTTO,LTTO.00.007,Kaugseire,,,1,2,4,,2,5,,4,1,1,1,,,,,
S,LT,LTTO,LTTO.00.008,Kaugseire rakendused,,1,,2,11,,1,12,1,1,6,3,,4,,,,
S,LT,LTTO,LTTO.00.011,Kosmosetehnoloogia alused,,,,3,5,,,8,,3,3,1,,,,,,1
S,MV,MVBS,ARAN.01.019,Närvisüsteemi morfoloogia,,,,2,3,,,5,,1,4,,,,,,,
S,MV,MVBS,ARAN.01.028,Anatoomia,1,,,8,44,,4,48,1,5,8,11,15,11,3,,,
S,MV,MVBS,ARAN.01.034,Anatoomia,,,1,3,11,,3,12,,5,,2,3,5,,,,
S,MV,MVBS,ARAN.01.038,Anatoomia,,,,5,130,,40,90,5,,,,,,,,,
S,MV,MVBS,ARAN.01.039,Anatoomia,,,,2,8,,,10,,,,,,,,,,
S,MV,MVBS,ARAN.01.043,Lihaste preparatsioon,1,,,1,22,1,,21,2,,,,,,,24,,
S,MV,MVBS,ARAN.02.005,Histoloogia,,,2,19,83,,2,99,3,,,,,,,,,
S,MV,MVBS,ARAN.02.024,Histoloogia,,,,5,6,,1,8,2,,,,,,,,,
S,MV,MVBS,ARBK.01.003,Meditsiiniline biokeemia,,,,,10,,,9,1,7,3,,,,,,,
S,MV,MVBS,ARBK.01.030,Meditsiiniline biokeemia,1,2,1,8,75,1,9,75,2,,,,,,,87,,
S,MV,MVBS,ARBK.01.042,Orgaaniline ja bioorgaaniline keemia,,,,6,27,,8,22,3,17,7,6,1,1,,,,1
S,MV,MVBS,ARBK.01.043,Meditsiiniline biokeemia,1,,,1,9,,8,3,,5,2,2,2,,,,,
S,MV,MVBS,ARFR.02.011,Farmakoloogia,,,,2,11,,4,7,2,9,2,2,,,,,,
S,MV,MVBS,ARFR.02.026,Kliiniline farmakoloogia,,,1,3,10,1,1,12,,,,,,,,14,,
S,MV,MVBS,ARFR.02.034,Ravimite toksikoloogia,,,2,4,4,,,8,2,,,,,,,10,,
S,MV,MVBS,ARFR.02.037,Farmakoloogia ja toksikoloogia,,,,18,81,,36,63,,,,,,,,97,2,
S,MV,MVBS,ARFR.02.051,Farmakoloogia,,,,1,19,,7,13,,,,,,,,20,,
S,MV,MVBS,ARFR.02.052,Farmakoteraapia,,,,1,12,,2,11,,,5,7,1,,,,,
S,MV,MVBS,ARFR.02.058,Neuropsühhofarmakoloogia,1,,,,5,1,1,4,,1,3,1,,,1,,,
S,MV,MVBS,ARFR.03.019,Kliiniline farmakoloogia,,1,2,7,24,1,,33,,,,,,,,34,,
S,MV,MVBS,ARFS.01.005,Valu neurofüsioloogilised mehhanismid,,,2,3,15,,1,16,3,,,,,,,20,,
S,MV,MVBS,ARFS.01.023,Biofüüsika,,1,11,59,72,,13,127,3,32,49,32,14,12,2,,,2
S,MV,MVBS,ARFS.01.030,Inimese füsioloogia,1,,1,13,60,1,3,69,2,,,,,,,,,
S,MV,MVBS,ARFS.01.032,Inimese füsioloogia,,,,1,8,,,9,,,,,,,,,,
S,MV,MVBS,ARFS.01.063,Inimese füsioloogia,,,,2,12,,,14,,4,4,6,,,,,,
S,MV,MVBS,ARFS.01.069,Närviteadus,,,1,1,8,,2,8,,6,4,,,,,,,
S,MV,MVBS,ARFS.01.078,Normaalne ja patoloogiline anatoomia ja füsioloogia,,3,12,13,13,,26,15,,,6,4,,,,29,,1
S,MV,MVBS,ARMB.01.004,Meditsiiniline mikrobioloogia,,,,2,10,,3,8,1,,,,,,,12,,
S,MV,MVBS,ARMB.01.020,Meditsiiniline mikrobioloogia,,,2,12,55,,5,63,1,,,,,,,69,,
S,MV,MVBS,ARMB.01.053,Kliiniline mikrobioloogia,,,,1,6,,,6,1,,,,,,,7,,
S,MV,MVBS,ARMB.01.055,Kliiniline mikrobioloogia. Pea ja kaela piirkonna infektsioonid,,,1,4,7,,1,11,,,,,,,,12,,
S,MV,MVBS,ARMP.01.026,Inimese molekulaarne ja kliiniline geneetika,,2,4,11,18,,13,22,,22,7,6,,,,,,
S,MV,MVBS,ARMP.01.029,Bioloogia,,,1,19,61,1,22,57,1,11,14,23,19,13,1,,,
S,MV,MVBS,ARMP.01.034,Bioloogia,,,,3,7,,2,7,1,2,3,1,3,1,,,,
S,MV,MVBS,ARMP.02.007,Immunoloogia,,,4,31,78,,36,75,2,19,22,42,25,4,,,,1
S,MV,MVBS,ARMP.02.029,Immunoloogia,,1,1,6,3,,6,5,,3,3,2,2,1,,,,
S,MV,MVBS,ARMP.03.015,Patoloogiline füsioloogia,1,3,8,30,93,1,44,84,6,81,46,6,1,,1,,,
S,MV,MVBS,ARMP.03.024,Patoloogiline füsioloogia,,,4,10,9,,17,5,1,6,6,9,1,1,,,,
S,MV,MVBS,ARPA.01.014,Patoloogiline anatoomia,1,1,3,31,101,,22,110,5,91,13,17,14,1,1,,,
S,MV,MVBS,ARPA.01.028,Patoloogiline anatoomia,,1,2,5,10,,9,8,1,12,5,1,,,,,,
S,MV,MVBS,ARPA.02.012,Kohtuarstiteadus,,,3,12,18,,,33,,,,,,,,33,,
S,MV,MVBS,MVBS.02.001,Farmakoloogia ja toksikoloogia,,,,1,7,,3,5,,4,3,1,,,,,,
S,MV,MVBS,MVBS.06.001,Immunoloogia,,,,2,5,,1,6,,,1,6,,,,,,
S,MV,MVCM,ARAI.01.039,Esmaabi,,,2,16,144,,,155,7,,,,,,,162,,
S,MV,MVCM,ARAI.01.045,Anestesioloogia ja intensiivravi,,,,4,41,,,44,1,,,,,,,45,,
S,MV,MVCM,ARAI.01.050,Anestesioloogia ja erakorraline meditsiin,,,1,4,7,,1,11,,,,,,,,12,,
S,MV,MVCM,ARAI.01.054,Kriitilised seisundid erakorralises meditsiinis,,,2,2,46,,2,48,,,,,,,,50,,
S,MV,MVCM,ARHO.02.002,Onkoloogia,,,,8,21,1,,24,4,,,,,,,29,,
S,MV,MVCM,ARHO.02.004,Hematoloogia,,,2,4,23,1,,28,,,,,,,,,,
S,MV,MVCM,ARKA.01.072,Kardioloogia,,,,8,28,,7,28,1,,,,,,,,,
S,MV,MVCM,ARKI.01.010,Üldkirurgia,,,1,1,14,,,16,,2,7,5,2,,,,,
S,MV,MVCM,ARKI.01.011,Äge kõht,,,2,,13,,,13,2,,,,,,,15,,
S,MV,MVCM,ARKI.02.029,Uroloogia,,3,8,12,10,5,6,21,1,,,,,,,,,
S,MV,MVCM,ARKI.02.030,Lastekirurgia,,,,1,28,,1,28,,,,,,,,,,
S,MV,MVCM,ARKI.02.031,Üld- ja abdominaalkirurgia,,,,2,18,,,20,,,,,,,,,,
S,MV,MVCM,ARKI.02.040,Veresoontekirurgia,,,1,7,13,1,,19,1,1,4,3,1,,,,,
S,MV,MVCM,ARKR.01.002,Kõrva-nina-kurguhaigused,,1,,3,6,,2,8,,3,3,3,1,,,,,
S,MV,MVCM,ARKR.01.024,"Kuulmis-ja kõneelundite anatoomia, füsioloogia ja patoloogia",,,1,4,11,,2,14,,,,,,,,14,,1
S,MV,MVCM,ARKR.01.028,Kõrva-nina-kurguhaigused,,,,12,43,,1,54,,20,16,13,3,3,,,,
S,MV,MVCM,ARKS.01.024,Pulmonoloogia ja torakaalkirurgia,2,1,2,4,16,2,3,19,1,,,,,,,,,
S,MV,MVCM,ARLA.01.027,Lastehaigused,,,1,5,18,,6,18,,,,,,,,24,,
S,MV,MVCM,ARLA.01.042,Lastehaigused,,,,7,39,1,8,37,,14,21,8,2,1,,,,
S,MV,MVCM,ARNH.01.030,Seitse sügelevat nahahaigust,,,,1,4,,,5,,,,,,,,5,,
S,MV,MVCM,ARNH.01.033,Naha- ja suguhaigused,,1,2,10,39,,19,32,1,29,13,10,,,,,,
S,MV,MVCM,ARNR.00.017,Valitud loengud neuroloogias ja neurokirurgias,,,,2,6,,,8,,,,,,,,8,,
S,MV,MVCM,ARNR.01.024,Neuroloogia,,2,,4,10,,10,6,,,,,,,,16,,
S,MV,MVCM,ARNR.01.036,Neuroloogia ja neurokirurgia,,,1,7,46,1,14,38,1,31,14,8,1,,,,,
S,MV,MVCM,ARNR.01.038,Kõnehäirete kliiniline käsitlus,,1,3,3,4,,,10,1,9,2,,,,,,,
S,MV,MVCM,ARNS.01.032,Naistehaigused ja sünnitusabi,,,1,12,46,,3,56,,6,35,13,4,1,,,,
S,MV,MVCM,ARPS.01.005,Psühhopatoloogia,1,3,3,7,28,,7,35,,5,3,7,13,11,,,,3
S,MV,MVCM,ARPS.01.006,Lapse ja nooruki psühhopatoloogia,,,,,17,,,16,1,7,6,3,,1,,,,
S,MV,MVCM,ARPS.01.050,Psühhiaatria,,,,3,6,,1,8,,,,,,,,9,,
S,MV,MVCM,ARPS.01.078,Psühhiaatria,1,1,,11,34,,6,40,1,21,21,4,1,,,,,
S,MV,MVCM,ARRD.00.016,Kliiniline radioloogia,,,7,18,70,1,,89,5,,,,,,,95,,
S,MV,MVCM,ARSI.01.002,Silmahaigused,,,1,7,39,,2,45,,8,31,7,1,,,,,
S,MV,MVCM,ARSI.01.011,Silmahaigused,,,1,2,3,,1,5,,,,,,,,6,,
S,MV,MVCM,ARSI.01.015,"Prillid, kontaktläätsed ja refraktiivne kirurgia",,,,1,5,1,,5,,,,,,,,6,,
S,MV,MVCM,ARSK.01.015,Sisehaigused,,,2,5,20,1,8,18,,13,4,3,4,3,,,,
S,MV,MVCM,ARSK.01.030,Endokrinoloogia,,,2,5,16,,2,20,1,,,,,,,,,
S,MV,MVCM,ARSK.01.032,Nefroloogia,,4,6,7,5,,7,15,,,,,,,,,,
S,MV,MVCM,ARSK.01.034,Gastroenteroloogia,,2,2,9,17,1,7,21,1,,,,,,,,,
S,MV,MVCM,ARSK.01.039,Reumatoloogia,,,,7,33,,3,36,1,,,,,,,,,
S,MV,MVCM,ARSK.01.057,Geriaatria algkursus,,2,6,11,8,,14,11,2,,,,,,,,,
S,MV,MVCM,ARSK.03.012,Laboratoorne meditsiin,2,1,3,7,23,1,1,33,1,,,,,,,,,
S,MV,MVCM,ARSK.03.016,Proovivõtt ja selle kvaliteedi tagamine,,,,1,6,,1,6,,,,,,,,7,,
S,MV,MVCM,ARSK.03.017,Sissejuhatus laborimeditsiini,,,,1,7,,,8,,,,,,,,8,,
S,MV,MVCM,ARSK.04.001,Infektsioonhaigused,,,1,8,15,,7,17,,2,2,5,6,9,,,,
S,MV,MVCM,ARSK.05.014,Tervishoiu kvaliteedi hindamine ja juhtimine,,1,,4,4,,,9,,,,,,,,9,,
S,MV,MVCM,ARSK.05.019,Haige uurimine sisekliinikus,,,,,9,,,9,,,,,,,,9,,
S,MV,MVCM,ARSM.00.013,Taastusravi,,1,3,9,28,1,,39,1,,,,,,,41,,
S,MV,MVCM,ARSM.00.015,Harrastusspordi võlud ja valud,,,,,13,,,13,,,,,,,,13,,
S,MV,MVCM,ARTO.01.021,Traumatoloogia ja ortopeedia,,3,11,9,10,1,9,23,,,4,14,2,,,,,
S,MV,MVCM,ARTO.01.030,Traumatoloogia ja ortopeedia,,,2,9,12,,7,16,,1,4,12,2,4,,,,
S,MV,MVCM,MVCM.03.002,TEAM kursus: Traumahaige esmakäsitlus ATLS printsiipidel,,,,1,8,,,9,,,,,,,,9,,
S,MV,MVFA,ARFA.00.057,Uurimistöö,,,,,8,,1,7,,,,,,,,8,,
S,MV,MVFA,ARFA.01.082,Sotsiaalfarmaatsia ja ravimite ohutus,,,,,11,,1,10,,,,,,,,11,,
S,MV,MVFA,ARFA.01.105,Farmakognoosia II,,1,2,5,6,1,3,10,,,2,2,6,4,,,,
S,MV,MVFA,ARFA.01.108,Sissejuhatus erialasse ja farmaatsia ajalugu,,,3,8,7,,1,17,,,,,,,,18,,
S,MV,MVFA,ARFA.01.109,Proviisor farmaatsiasektoris,,,,2,19,1,1,18,1,,,,,,,21,,
S,MV,MVFA,ARFA.02.040,Uurimistöö planeerimine,,,1,2,8,,,9,2,,,,,,,11,,
